,0,1,2,3
0,12c9c,7,41,0
1,8d8c,8,66,1
2,6c4h,3,10,0
3,10c7d,3,17,1
4,14h7c,5,21,1
5,14d3c,5,17,0
6,5s3s,5,28,0
7,14c9h,5,23,1
8,10h5d,0,15,1
9,6s5h,4,21,0
10,11s9s,8,40,0
11,11c10d,7,31,1
12,12h3h,4,35,0
13,14s13h,10,37,1
14,10s9d,6,29,0
15,13c8h,3,21,1
16,13s6h,3,19,1
17,8s3d,-1,11,0
18,12d6d,4,38,0
19,13d7s,3,20,1
20,4s2s,4,26,0
21,11h2c,1,13,1
22,5c2h,1,7,0
23,11d4d,3,35,1
24,12s7h,2,19,1
25,4c2d,2,6,0
26,9d8d,8,47,0
27,2d2c,5,54,1
28,14h13c,10,37,1
29,13d3s,3,16,0
30,10s4s,2,34,0
31,14s8h,5,22,1
32,14c5d,5,19,1
33,7c3c,2,30,0
34,12s6h,2,18,0
35,9h9s,9,68,1
36,8s7d,5,25,0
37,10h2s,0,12,1
38,11d5c,1,16,0
39,13s6c,3,19,1
40,5h3h,5,28,0
41,7s7h,7,64,1
42,11s3d,1,14,0
43,12c6d,2,18,1
44,11c4d,1,15,0
45,13h10c,6,23,1
46,11h8c,4,19,1
47,6s4h,3,10,0
48,10d9c,6,29,0
49,14d2h,5,26,1
50,12d4c,2,16,0
51,12h5s,2,17,1
52,13c9h,4,22,0
53,14s10h,6,24,1
54,14h12d,9,26,1
55,12h7c,2,19,0
56,13s8d,3,21,1
57,11c5h,1,16,0
58,7h6d,5,23,0
59,10c4c,2,34,1
60,9s4s,2,33,1
61,5c2d,1,7,0
62,12c3h,2,15,1
63,11s8s,6,39,0
64,13d4d,5,37,1
65,11d3c,1,14,0
66,9c8c,8,47,1
67,5d3s,3,8,0
68,14c10d,6,24,1
69,14d6c,5,20,0
70,9d2c,0,11,1
71,5s3d,3,8,0
72,7s7d,7,64,1
73,8h4h,2,32,0
74,11h6h,3,37,1
75,10s2h,0,12,0
76,13h6s,3,19,1
77,12s2s,4,34,0
78,13c5s,3,18,1
79,7c6d,5,23,0
80,7d5c,4,12,0
81,9c2s,0,11,1
82,11s4h,1,15,0
83,14s6c,5,20,1
84,11d5d,3,36,0
85,12c9h,5,21,1
86,13h3s,3,16,1
87,12d8h,3,20,0
88,9s3d,0,12,1
89,7h6s,5,23,0
90,13d6h,3,19,1
91,10s8d,5,18,0
92,11c10d,7,31,0
93,14h14d,20,78,1
94,12s2h,2,14,1
95,5h2d,1,7,0
96,10c4c,2,34,0
97,14c11h,8,25,1
98,12h3h,4,35,1
99,8c2c,1,30,0
100,13s10h,6,23,1
101,8s3c,-1,11,0
102,9d4s,0,13,1
103,7s4d,2,11,0
