,0,1,2,3,4
0,Js4h,3hJcTh,1,129,1
1,7d5s,3hJcTh,4,36,0
2,JcTh,Jh9dQc,7,133,1
3,7s6h,Jh9dQc,5,45,0
4,Qc9d,Kh6sKd,5,103,1
5,9s2d,Kh6sKd,0,93,0
6,Kd6s,AdTd5d,3,98,1
7,6c3d,AdTd5d,1,88,0
8,Td5d,9hJd8c,2,113,0
9,Ac5h,9hJd8c,5,47,1
10,Jd8c,3c4c9c,4,85,1
11,6d2h,3c4c9c,-1,84,0
12,9c4c,7h8hAs,2,62,0
13,KcQd,7h8hAs,8,74,1
14,As3s,7hThJd,7,45,1
15,9c5d,7hThJd,1,62,0
16,JdTh,4hKd8h,7,86,0
17,Qs3c,4hKd8h,2,40,1
18,Kd8h,AhAc7s,3,106,1
19,4c3d,AhAc7s,3,92,0
20,Ac7s,Qd6cJc,5,90,0
21,KhQh,Qd6cJc,10,124,1
22,Jc6c,4d9h7c,3,77,0
23,4s3h,4d9h7c,3,77,1
24,9h7c,KsJsTs,5,110,1
25,6h5s,KsJsTs,4,95,0
26,JsTs,Td8s2c,9,131,1
27,Tc9s,Td8s2c,6,109,0
28,Ah8s,Ad6d2h,5,94,1
29,Qd4c,Ad6d2h,2,78,0
30,6d2h,JdKs4h,-1,36,0
31,8d6c,JdKs4h,4,42,1
32,Ks4h,7c6h3h,3,73,1
33,9c5d,7c6h3h,1,50,0
34,6h3h,8c2dAc,3,53,0
35,Th2c,8c2dAc,0,126,1
36,Ac2d,4s9sQh,5,41,0
37,Qc7d,4s9sQh,2,94,1
38,Qh9s,3c9d2s,5,85,1
39,7h6s,3c9d2s,5,27,0
40,9d2s,Jh5hTd,0,57,0
41,As8h,Jh5hTd,5,88,1
42,6d2h,4sTd9h,-1,31,0
43,Ah9c,4sTd9h,5,96,1
44,Td9h,Qd8s8c,6,117,0
45,Ad8h,Qd8s8c,5,180,1
46,8s8c,2c3c8d,8,199,1
47,7d7h,2c3c8d,7,77,0
48,8d3c,Kc4c5d,-1,93,0
