,0,1,2,3,4,5,6,7
0,4,26,0.0075,0.005,4,0,2,150.0
1,4,36,0.0075,0.0225,2,0,0,-150.0
2,7,37,0.0075,0.005,4,0,1,-20000.0
3,1,9,0.0075,0.0075,1,0,1,20000.0
4,1,32,0.0075,0.0075,4,1,3,20000.0
5,7,80,1.0,0.0075,3,1,1,-20000.0
6,3,16,0.0075,0.005,4,0,3,150.0
7,1,13,0.0075,1.0,3,0,0,-150.0
8,-1,8,0.0075,0.005,4,0,2,-450.0
9,4,12,0.0075,0.0225,2,0,3,450.0
10,-1,8,1.0,0.0225,3,0,0,-450.0
11,1,16,0.0075,0.005,4,0,0,-100.0
12,1,31,0.0075,0.005,4,0,1,450.0
13,2,30,0.0075,0.0075,1,0,1,-450.0
14,2,115,0.0075,0.0075,4,1,2,-450.0
15,1,76,0.0225,0.0075,2,1,3,450.0
16,2,115,0.0225,1.0,3,1,0,-450.0
17,3,20,0.0075,0.005,4,0,3,150.0
18,20,78,0.0075,1.0,3,0,0,-150.0
19,5,35,0.0075,0.005,4,0,1,-150.0
20,3,15,0.0075,0.0075,1,0,2,150.0
21,5,35,0.0225,0.0075,2,0,0,-150.0
22,5,16,0.0075,0.005,4,0,1,-450.0
23,4,22,0.0075,0.0075,1,0,2,450.0
24,5,16,0.0225,0.0075,2,0,1,-450.0
25,4,46,0.0225,0.0225,4,1,3,450.0
26,5,100,1.0,0.0225,3,1,0,-450.0
27,8,35,0.0075,0.005,4,0,0,-100.0
28,-1,11,0.0075,0.005,4,0,2,150.0
29,5,37,0.0075,0.0225,2,0,0,-150.0
30,3,18,0.0075,0.005,4,0,2,-450.0
31,10,70,0.0075,0.0225,2,0,1,450.0
32,10,95,0.0225,0.0225,4,1,3,450.0
33,3,63,1.0,0.0225,3,1,0,-450.0
34,6,22,0.0075,0.005,4,0,1,-150.0
35,4,12,0.0075,0.0075,1,0,3,150.0
36,6,22,1.0,0.0075,3,0,0,-150.0
37,0,14,0.0075,0.005,4,0,2,-450.0
38,2,15,0.0075,0.0225,2,0,1,450.0
