,0,1,2,3,4,5,6,7
0,3,20,0.0075,0.005,4,0,2,-20000.0
1,3,29,0.0075,0.0225,2,0,1,20000.0
2,3,125,0.0225,0.0225,4,1,2,20000.0
3,3,46,0.0675,0.0225,2,1,1,-20000.0
4,3,98,0.0675,0.0675,4,2,2,20000.0
5,3,109,0.2025,0.0675,2,2,2,-20000.0
6,3,98,0.2025,0.6075,2,2,1,20000.0
7,3,109,0.6075,0.6075,4,3,3,20000.0
8,3,69,1.0,0.6075,3,3,1,-20000.0
9,2,18,0.0075,0.005,4,0,2,0.0
10,2,16,0.0075,0.0225,2,0,1,0.0
11,2,90,0.0225,0.0225,4,1,3,0.0
12,2,92,1.0,0.0225,3,1,1,0.0
13,2,30,0.0075,0.005,4,0,2,1350.0
14,5,16,0.0075,0.0225,2,0,2,-1350.0
15,2,30,0.0675,0.0225,2,0,2,1350.0
16,5,16,0.0675,0.2025,2,0,0,-1350.0
17,0,12,0.0075,0.005,4,0,2,150.0
18,7,33,0.0075,0.0225,2,0,0,-150.0
19,1,17,0.0075,0.005,4,0,2,150.0
20,5,19,0.0075,0.0225,2,0,0,-150.0
21,3,19,0.0075,0.005,4,0,2,12150.0
22,9,26,0.0075,0.0225,2,0,2,-12150.0
23,3,19,0.0675,0.0225,2,0,2,12150.0
24,9,26,0.0675,0.2025,2,0,2,-12150.0
25,3,19,0.6075,0.2025,2,0,1,12150.0
26,9,49,0.6075,0.6075,4,1,1,-12150.0
27,3,42,0.6075,0.6075,1,1,3,12150.0
28,9,49,0.6075,1.0,3,1,0,-12150.0
29,8,35,0.0075,0.005,4,0,2,-20000.0
30,7,39,0.0075,0.0225,2,0,1,20000.0
31,7,150,0.0225,0.0225,4,1,1,20000.0
32,8,106,0.0225,0.0225,1,1,1,-20000.0
33,7,142,0.0225,0.0225,4,2,3,20000.0
34,8,108,1.0,0.0225,3,2,1,-20000.0
35,7,33,0.0075,0.005,4,0,2,150.0
36,1,16,0.0075,0.0225,2,0,0,-150.0
37,3,8,0.0075,0.005,4,0,2,1350.0
38,8,40,0.0075,0.0225,2,0,2,-1350.0
39,3,8,0.0675,0.0225,2,0,2,1350.0
40,8,40,0.0675,0.2025,2,0,0,-1350.0
41,4,34,0.0075,0.005,4,0,2,20000.0
42,2,13,0.0075,0.0225,2,0,2,-20000.0
43,4,34,0.0675,0.0225,2,0,2,20000.0
44,2,13,0.0675,0.2025,2,0,2,-20000.0
45,4,34,0.6075,0.2025,2,0,1,20000.0
46,2,135,0.6075,0.6075,4,1,3,-20000.0
47,4,76,1.0,0.6075,3,1,1,20000.0
48,5,23,0.0075,0.005,4,0,2,1350.0
49,11,46,0.0075,0.0225,2,0,2,-1350.0
50,5,23,0.0675,0.0225,2,0,2,1350.0
51,11,46,0.0675,0.2025,2,0,0,-1350.0
52,2,14,0.0075,0.005,4,0,2,150.0
53,2,18,0.0075,0.0225,2,0,0,-150.0
54,4,38,0.0075,0.005,4,0,2,20000.0
55,2,17,0.0075,0.0225,2,0,3,-20000.0
56,4,38,1.0,0.0225,3,0,1,20000.0
57,7,64,0.0075,0.005,4,0,2,-20000.0
58,5,21,0.0075,0.0225,2,0,1,20000.0
59,5,92,0.0225,0.0225,4,1,3,20000.0
60,7,85,1.0,0.0225,3,1,1,-20000.0
61,1,14,0.0075,0.005,4,0,2,-20000.0
62,8,35,0.0075,0.0225,2,0,3,20000.0
63,1,14,1.0,0.0225,3,0,1,-20000.0
64,7,41,0.0075,0.005,4,0,2,-20000.0
65,-1,9,0.0075,0.0225,2,0,1,20000.0
66,-1,129,0.0225,0.0225,4,1,3,20000.0
67,7,101,1.0,0.0225,3,1,1,-20000.0
68,2,6,0.0075,0.005,4,0,1,-1350.0
69,4,38,0.0075,0.0075,1,0,2,1350.0
70,2,6,0.0225,0.0075,2,0,2,-1350.0
71,4,38,0.0225,0.0675,2,0,3,1350.0
72,2,6,1.0,0.0675,3,0,0,-1350.0
73,5,23,0.0075,0.005,4,0,2,-20000.0
74,7,33,0.0075,0.0225,2,0,3,20000.0
75,5,23,1.0,0.0225,3,0,1,-20000.0
76,5,37,0.0075,0.005,4,0,2,150.0
77,7,39,0.0075,0.0225,2,0,0,-150.0
78,7,42,0.0075,0.005,4,0,2,150.0
79,0,12,0.0075,0.0225,2,0,0,-150.0
80,3,15,0.0075,0.005,4,0,2,-20000.0
81,5,18,0.0075,0.0225,2,0,3,20000.0
82,3,15,1.0,0.0225,3,0,1,-20000.0
83,2,33,0.0075,0.005,4,0,2,-20000.0
84,7,41,0.0075,0.0225,2,0,2,20000.0
85,2,33,0.0675,0.0225,2,0,2,-20000.0
86,7,41,0.0675,0.2025,2,0,2,20000.0
87,2,33,0.6075,0.2025,2,0,1,-20000.0
